Topic,Word,Pinyin,Pronunciation,Meaning
"3. Số đếm, thời gian",明天,míngtiān,Mincthiên,Ngày mai
"3. Số đếm, thời gian",昨天,zuótiān,Chhuathiên,Hôm qua
"3. Số đếm, thời gian",点,diǎn,Thiên,Giờ
"3. Số đếm, thời gian",分,fēn,Fân,Phút
"3. Số đếm, thời gian",秒,miǎo,Meo,Giây
"3. Số đếm, thời gian",年,nián,Niên,Năm
"3. Số đếm, thời gian",月,yuè,Yue,Tháng
"3. Số đếm, thời gian",星期,xīngqī,Xincsi,Tuần
"3. Số đếm, thời gian",日,rì,Ri,ngày
"3. Số đếm, thời gian",现在,xiànzài,Xiênchhai,"Hiện tại, bây giờ"
"3. Số đếm, thời gian",早上,zǎoshang,Chhaosanc,Buổi sáng
"3. Số đếm, thời gian",中午,zhōngwǔ,Throncwu,Buổi trưa
"3. Số đếm, thời gian",晚上,wǎnshang,Wansanc,Buổi tối
"3. Số đếm, thời gian",星期一,xīngqī yī,Xincsi Yi,Thứ hai
"3. Số đếm, thời gian",星期二,xīngqī èr,Xincsi Er,Thứ Ba
"3. Số đếm, thời gian",星期三,xīngqī sān,Xincsi San,Thứ Tư
"3. Số đếm, thời gian",星期四,xīngqī sì,Xincsi Si,Thứ Năm
"3. Số đếm, thời gian",星期五,xīngqī wǔ,Xincsi Wu,Thứ Sáu
"3. Số đếm, thời gian",星期六,xīngqī liù,Xincsi Liêu,Thứ Bảy
"3. Số đếm, thời gian",星期天,xīngqī tiān,Xincsi Thiên,Chủ nhật
4. Mua sắm,商店,shāngdiàn,Sancthiên,Cửa hàng
4. Mua sắm,便宜,piányi,Phiênyi,Rẻ
4. Mua sắm,贵,guì,Cuây,Đắt
4. Mua sắm,打折,dǎzhé,Thathre,Giảm giá
4. Mua sắm,现金,xiànjīn,Xiênciin,Tiền mặt
4. Mua sắm,信用卡,xìnyòngkǎ,Xinyonckha,Thẻ tín dụng
4. Mua sắm,发票,fāpiào,Fapheo,Hóa đơn
4. Mua sắm,买,mǎi,Mai,Mua
4. Mua sắm,卖,mài,Mai,Bán
4. Mua sắm,这个,zhège,Threce,Cái này
4. Mua sắm,那个,nàgè,Nace,Cái kia
4. Mua sắm,颜色,yánsè,Yanse,Màu sắc
4. Mua sắm,红色,hóngsè,Honcse,Màu đỏ
4. Mua sắm,黑色,hēisè,Heise,Màu đen
4. Mua sắm,白色,báisè,Phaise,Màu trắng
4. Mua sắm,蓝色,lánsè,Lanse,Màu xanh lam
4. Mua sắm,黄色,huángsè,Hoancse,Màu vàng
4. Mua sắm,衣服,yīfu,Yifu,Quần áo
4. Mua sắm,裤子,kùzi,Khuchhi,Quần
4. Mua sắm,裙子,qúnzi,Sunchhi,Váy
4. Mua sắm,鞋子,xiézi,Xiêchhi,Giày
4. Mua sắm,帽子,màozi,Maochhi,Mũ
5. Ăn uống,饭,fàn,Fan,Cơm
5. Ăn uống,菜,cài,Chai,"Món ăn, rau"
5. Ăn uống,水,shuǐ,Suây,Nước
5. Ăn uống,茶,chá,Thra,Trà
5. Ăn uống,咖啡,kāfēi,Khafei,Cà phê
5. Ăn uống,牛奶,niúnǎi,Niêunai,Sữa
5. Ăn uống,肉,ròu,Râu,Thịt
5. Ăn uống,蔬菜,shūcài,Suchai,Rau
5. Ăn uống,鱼,yú,Yu,Cá
5. Ăn uống,方便面,fāngbiànmiàn,Fancphiênmiên,"Mì ăn liền, mì gói"
5. Ăn uống,面条,miàntiáo,Miêntheo,Mì
5. Ăn uống,水果,shuǐguǒ,Suâycua,Trái cây
5. Ăn uống,苹果,píngguǒ,Phinccua,Táo
5. Ăn uống,香蕉,xiāngjiāo,Xiêncciêo,Chuối
5. Ăn uống,橘子,júzi,Ciêuchhi,Quýt
5. Ăn uống,葡萄,pútáo,Phuthao,Nho
5. Ăn uống,芒果,mángguǒ,Manccua,Xoài
5. Ăn uống,西瓜,xīguā,Xicoa,Dưa hấu
5. Ăn uống,饮料,yǐnliào,Yinleo,Đồ uống
5. Ăn uống,奶茶,nǎichá,Naithra,Trà sữa
6. Giao thông,车,chē,Thre,Xe
6. Giao thông,公共汽车,gōnggòng qìchē,Concconc Sithre,Xe buýt
6. Giao thông,地铁,dìtiě,Thithiê,Tàu điện ngầm
6. Giao thông,出租车,chūzūchē,Thruchhuthre,Taxi
6. Giao thông,自行车,zìxíngchē,Chhixincthre,Xe đạp
6. Giao thông,摩托车,mótuōchē,Mothuathre,"Xe gắn máy, xe mô tô"
6. Giao thông,走,zǒu,Chhâu,Đi bộ
6. Giao thông,车站,chēzhàn,Threthran,"Ga, bến xe"
6. Giao thông,下一站,xià yí zhàn,Xia Yi Thran,Trạm tiếp theo
6. Giao thông,上车,shàngchē,Sancthre,Lên xe
6. Giao thông,下车,xiàchē,Xiathre,Xuống xe
6. Giao thông,迷路,mílù,Milu,Lạc đường
7. Động từ chỉ hoạt động cơ bản,做,zuò,Chhua,"Làm, nấu"
7. Động từ chỉ hoạt động cơ bản,学习,xuéxí,Xuexi,Học tập
7. Động từ chỉ hoạt động cơ bản,吃,chī,Thri,Ăn
7. Động từ chỉ hoạt động cơ bản,喝,hē,He,Uống
7. Động từ chỉ hoạt động cơ bản,看,kàn,Khan,"Xem, nhìn, đọc"
7. Động từ chỉ hoạt động cơ bản,睡觉,shuìjiào,Suâyciêo,Ngủ
7. Động từ chỉ hoạt động cơ bản,工作,gōngzuò,Concchhua,Làm việc
7. Động từ chỉ hoạt động cơ bản,学,xué,Xuế,Học
7. Động từ chỉ hoạt động cơ bản,玩,wán,Wan,"Chơi, vui chơi"
7. Động từ chỉ hoạt động cơ bản,去,qù,Su,Đi
7. Động từ chỉ hoạt động cơ bản,来,lái,Lai,Đến
7. Động từ chỉ hoạt động cơ bản,听,tīng,Thinc,Nghe
7. Động từ chỉ hoạt động cơ bản,说,shuō,Sua,Nói
7. Động từ chỉ hoạt động cơ bản,写,xiě,Xiê,Viết
7. Động từ chỉ hoạt động cơ bản,读,dú,Thu,Đọc
7. Động từ chỉ hoạt động cơ bản,跑步,pǎobù,Phaophu,Chạy bộ
7. Động từ chỉ hoạt động cơ bản,跳舞,tiàowǔ,Theowu,Nhảy múa
7. Động từ chỉ hoạt động cơ bản,游泳,yóuyǒng,Yâuyonc,Bơi lội
7. Động từ chỉ hoạt động cơ bản,唱歌,chànggē,Thrancce,Hát
7. Động từ chỉ hoạt động cơ bản,笑,xiào,Xeo,Cười
7. Động từ chỉ hoạt động cơ bản,哭,kū,Khu,Khóc
7. Động từ chỉ hoạt động cơ bản,走,zǒu,Chhâu,"Đi, đi bộ"
7. Động từ chỉ hoạt động cơ bản,站,zhàn,Thran,Đứng
7. Động từ chỉ hoạt động cơ bản,坐,zuò,Chhua,Ngồi
7. Động từ chỉ hoạt động cơ bản,报告,bàogào,Phaocao,Báo cáo
7. Động từ chỉ hoạt động cơ bản,写,xiě,Xiê,Viết
7. Động từ chỉ hoạt động cơ bản,画,huà,Hoa,Vẽ
7. Động từ chỉ hoạt động cơ bản,洗,xǐ,Xi,Rửa
7. Động từ chỉ hoạt động cơ bản,打扫,dǎsǎo,Thasao,Dọn dẹp
7. Động từ chỉ hoạt động cơ bản,开车,kāichē,Khaithre,Lái xe
7. Động từ chỉ hoạt động cơ bản,打电话,dǎ diànhuà,Tha Thiênhoa,Gọi điện thoại
7. Động từ chỉ hoạt động cơ bản,照顾,zhàogù,Thraocu,Chăm sóc
7. Động từ chỉ hoạt động cơ bản,购物,gòuwù,Câuwu,Mua sắm
7. Động từ chỉ hoạt động cơ bản,准备,zhǔnbèi,Thrunphei,Chuẩn bị
7. Động từ chỉ hoạt động cơ bản,结婚,jiéhūn,Ciiêhun,Kết hôn
7. Động từ chỉ hoạt động cơ bản,离开,líkāi,Likhai,Rời khỏi
7. Động từ chỉ hoạt động cơ bản,到达,dàodá,Thaotha,Đến nơi
7. Động từ chỉ hoạt động cơ bản,帮助,bāngzhù,Phancthru,Giúp đỡ
7. Động từ chỉ hoạt động cơ bản,理解,líjiě,Liciiê,Hiểu
7. Động từ chỉ hoạt động cơ bản,分享,fēnxiǎng,Fânxiênc,Chia sẻ
7. Động từ chỉ hoạt động cơ bản,拍照,pāizhào,Phaithrao,Chụp ảnh
7. Động từ chỉ hoạt động cơ bản,大,dà,Tha,Lớn
7. Động từ chỉ hoạt động cơ bản,小,xiǎo,Xeo,Nhỏ
7. Động từ chỉ hoạt động cơ bản,好,hǎo,Khảo,Tốt
7. Động từ chỉ hoạt động cơ bản,坏,huài,Hoai,Xấu
7. Động từ chỉ hoạt động cơ bản,热,rè,Re,Nóng
7. Động từ chỉ hoạt động cơ bản,冷,lěng,Lânc,Lạnh
7. Động từ chỉ hoạt động cơ bản,快,kuài,Khoai,Nhanh
7. Động từ chỉ hoạt động cơ bản,慢,màn,Man,Chậm
7. Động từ chỉ hoạt động cơ bản,美丽,měilì,Meili,Đẹp
7. Động từ chỉ hoạt động cơ bản,丑,chǒu,Thrâu,Xấu xí
7. Động từ chỉ hoạt động cơ bản,高,gāo,Cao,Cao
7. Động từ chỉ hoạt động cơ bản,矮,ǎi,Ai,Thấp
7. Động từ chỉ hoạt động cơ bản,新,xīn,Xin,Mới
7. Động từ chỉ hoạt động cơ bản,旧,jiù,Ciiêu,Cũ
7. Động từ chỉ hoạt động cơ bản,难,nán,Nán,Khó
7. Động từ chỉ hoạt động cơ bản,容易,róngyì,Roncyi,Dễ
7. Động từ chỉ hoạt động cơ bản,干净,gānjìng,Canciinc,Sạch sẽ
7. Động từ chỉ hoạt động cơ bản,脏,zāng,Chhanc,Bẩn
7. Động từ chỉ hoạt động cơ bản,甜,tián,Thiên,Ngọt
7. Động từ chỉ hoạt động cơ bản,苦,kǔ,Khu,Đắng
7. Động từ chỉ hoạt động cơ bản,辣,là,La,Cay
7. Động từ chỉ hoạt động cơ bản,酸,suān,Soan,Chua
7. Động từ chỉ hoạt động cơ bản,丰富,fēngfù,Fâncfu,Phong phú
7. Động từ chỉ hoạt động cơ bản,好听,hǎotīng,Haothinc,Dễ nghe
7. Động từ chỉ hoạt động cơ bản,难听,nántīng,Nanthinc,Khó nghe
"9. Địa điểm, phương hướng",地图,dìtú,Thithu,Bản đồ
"9. Địa điểm, phương hướng",地方,dìfang,Thifanc,Địa điểm
"9. Địa điểm, phương hướng",学校,xuéxiào,Xuexeo,Trường học
"9. Địa điểm, phương hướng",医院,yīyuàn,Yiyoan,Bệnh viện
"9. Địa điểm, phương hướng",超市,chāoshì,Thraosi,Siêu thị
"9. Địa điểm, phương hướng",银行,yínháng,Yinhanc,Ngân hàng
"9. Địa điểm, phương hướng",公园,gōngyuán,Concyoan,Công viên
"9. Địa điểm, phương hướng",图书馆,túshūguǎn,Thusucoan,Thư viện
"9. Địa điểm, phương hướng",北,běi,Phei,Bắc
"9. Địa điểm, phương hướng",南,nán,Nán,Nam
"9. Địa điểm, phương hướng",东,dōng,Thonc,Đông
"9. Địa điểm, phương hướng",西,xī,Xi,Tây
"9. Địa điểm, phương hướng",机场,jīchǎng,Ciithranc,Sân bay
"9. Địa điểm, phương hướng",餐馆,cānguǎn,Chancoan,Nhà hàng
"9. Địa điểm, phương hướng",邮局,yóujú,Yâuciêu,Bưu điện
"9. Địa điểm, phương hướng",咖啡馆,kāfēiguǎn,Khafeicoan,Quán cà phê
"9. Địa điểm, phương hướng",公共厕所,gōnggòng cèsuǒ,Concconc Chesua,Nhà vệ sinh công cộng
"9. Địa điểm, phương hướng",博物馆,bówùguǎn,Phowucoan,Bảo tàng
"9. Địa điểm, phương hướng",警察局,jǐngchájú,Ciincthraciêu,Đồn cảnh sát
"9. Địa điểm, phương hướng",火车站,huǒchē zhàn,Huathre Thran,Ga xe lửa
"10. Cảm xúc, tâm trạng",高兴,gāoxìng,Caoxinc,Vui
"10. Cảm xúc, tâm trạng",悲伤,bēishāng,Pheisanc,"Buồn bã, bi thương"
"10. Cảm xúc, tâm trạng",生气,shēngqì,Sâncsi,Giận
"10. Cảm xúc, tâm trạng",紧张,jǐnzhāng,Ciinthranc,Hồi hộp
"10. Cảm xúc, tâm trạng",放松,fàngsōng,Fancsonc,Thư giãn
"10. Cảm xúc, tâm trạng",害怕,hàipà,Haipha,Sợ
"10. Cảm xúc, tâm trạng",兴奋,xīngfèn,Xincfân,Hào hứng
"10. Cảm xúc, tâm trạng",失望,shīwàng,Siwanc,Thất vọng
"10. Cảm xúc, tâm trạng",害羞,hàixiū,Haixiêu,Ngại
"10. Cảm xúc, tâm trạng",自豪,zìháo,Chhihao,Tự hào
"10. Cảm xúc, tâm trạng",快乐,kuàilè,Khoaile,Vui vẻ
"10. Cảm xúc, tâm trạng",开心,kāixīn,Khaixin,Vui vẻ
"10. Cảm xúc, tâm trạng",幸福,xìngfú,Xincfu,Hạnh phúc
"10. Cảm xúc, tâm trạng",满意,mǎnyì,Manyi,Hài lòng
"10. Cảm xúc, tâm trạng",舒服,shūfu,Sufu,Dễ chịu
"10. Cảm xúc, tâm trạng",平静,píngjìng,Phincciinc,Bình tĩnh
"10. Cảm xúc, tâm trạng",烦恼,fánnǎo,Fannao,Phiền não
"10. Cảm xúc, tâm trạng",担心,dānxīn,Thanxin,Lo lắng
"10. Cảm xúc, tâm trạng",不安,bù’ān,Phu’an,Bất an
"10. Cảm xúc, tâm trạng",难过,nánguò,Nancua,Buồn
"10. Cảm xúc, tâm trạng",伤心,shāngxīn,Sancxin,Đau lòng
"10. Cảm xúc, tâm trạng",惊讶,jīngyà,Ciincya,Ngạc nhiên
"10. Cảm xúc, tâm trạng",感动,gǎndòng,Canthonc,Cảm động
"10. Cảm xúc, tâm trạng",热情,rèqíng,Resinc,Nhiệt tình
11. Học tập,学生,xuésheng,Xuể sâng,Học sinh
11. Học tập,书,shū,Su,Sách
11. Học tập,笔,bǐ,Phi,Bút
11. Học tập,铅笔,qiānbǐ,Siênphi,Bút chì
11. Học tập,橡皮,xiàngpí,Xiêncphi,Tẩy
11. Học tập,本子,běnzi,Phânchhi,Vở
11. Học tập,课本,kèběn,Khephân,Sách giáo khoa
11. Học tập,作业,zuòyè,Chhuaye,Bài tập về nhà
11. Học tập,课桌,kèzhuō,Khethrua,Bàn học
11. Học tập,椅子,yǐzi,Yichhi,Ghế
11. Học tập,黑板,hēibǎn,Heiphan,Bảng đen
11. Học tập,电脑,diànnǎo,Thiênnao,Máy tính
11. Học tập,计算器,jìsuànqì,Ciisoansi,Máy tính bỏ túi
11. Học tập,词典,cídiǎn,Chithiên,Từ điển
11. Học tập,练习,liànxí,Liênxi,Luyện tập
11. Học tập,考试,kǎoshì,Khaosi,Thi
11. Học tập,成绩,chéngjì,Thrânccii,Điểm số
11. Học tập,课堂,kètáng,Khethanc,Lớp học
11. Học tập,课间休息,kèjiān xiūxi,Kheciiên Xiêuxi,Giờ nghỉ giải lao
11. Học tập,实验,shíyàn,Siyan,Thí nghiệm
12. Sức khỏe,病,bìng,Phinc,Bệnh
12. Sức khỏe,头疼,tóuténg,Thâuthânc,Đau đầu
12. Sức khỏe,感冒,gǎnmào,Canmao,Cảm cúm
12. Sức khỏe,肚子疼,dùzi téng,Thuchhi Thânc,Đau bụng
12. Sức khỏe,发烧,fāshāo,Fasao,Phát sốt
12. Sức khỏe,咳嗽,késou,Khesâu,Ho
12. Sức khỏe,药,yào,Yao,Thuốc
12. Sức khỏe,医生,yīshēng,Yisânc,Bác sĩ
12. Sức khỏe,护士,hùshì,Husi,Y tá
12. Sức khỏe,生病,shēngbìng,Sâncphinc,"Sinh bệnh, bị ốm"
13. Nghề nghiệp,工作,gōngzuò,Concchhua,Công việc
13. Nghề nghiệp,医生,yīshēng,Yisânc,Bác sĩ
13. Nghề nghiệp,老师,lǎoshī,Laosi,Giáo viên
13. Nghề nghiệp,警察,jǐngchá,Ciincthra,Cảnh sát
13. Nghề nghiệp,律师,lǜshī,Lusi,Luật sư
13. Nghề nghiệp,工程师,gōngchéngshī,Concthrâncsi,Kỹ sư công trình
13. Nghề nghiệp,厨师,chúshī,Thrusi,Đầu bếp
13. Nghề nghiệp,服务员,fúwùyuán,Fuwuyoan,Nhân viên phục vụ
13. Nghề nghiệp,售货员,shòuhuòyuán,Sâuhuayoan,Nhân viên bán hàng
13. Nghề nghiệp,记者,jìzhě,Ciithre,Phóng viên
13. Nghề nghiệp,歌手,gēshǒu,Cesâu,Ca sĩ
13. Nghề nghiệp,演员,yǎnyuán,Yanyoan,Diễn viên
13. Nghề nghiệp,运动员,yùndòngyuán,Yunthoncyoan,Vận động viên
13. Nghề nghiệp,大学生,dà xuéshēng,Tha Xuesânc,Sinh viên
13. Nghề nghiệp,农民,nóngmín,Noncmin,Nông dân
13. Nghề nghiệp,工人,gōngrén,Concrân,Công nhân
13. Nghề nghiệp,商人,shāngrén,Sancrân,Thương nhân
13. Nghề nghiệp,企业家,qǐyèjiā,Siyeciia,Doanh nhân
13. Nghề nghiệp,科学家,kēxuéjiā,Khexueciia,Nhà khoa học
13. Nghề nghiệp,艺术家,yìshùjiā,Yisuciia,Nghệ sĩ
14. Lễ hội,节日,jiérì,Ciiêri,"Ngày lễ, ngày hội"
14. Lễ hội,活动,huódòng,Huathonc,Hoạt động
14. Lễ hội,礼物,lǐwù,Liwu,Quà tặng
14. Lễ hội,聚会,jùhuì,Ciêuhuây,"Tụ họp, tiệc tùng"
14. Lễ hội,烟花,yānhuā,Yanhoa,Pháo hoa
14. Lễ hội,传统,chuántǒng,Throanthonc,Truyền thống
14. Lễ hội,春节,chūnjié,Thrunciiê,Tết Nguyên đán
14. Lễ hội,除夕,chúxī,Thruxi,Đêm giao thừa
14. Lễ hội,端午节,duānwǔjié,Thoanwuciiê,Tết Dương lịch
14. Lễ hội,中秋节,zhōngqiūjié,Throncsiêuciiê,Tết Trung thu
14. Lễ hội,清明节,qīngmíngjié,Sincmincciiê,Tết Thanh minh
14. Lễ hội,圣诞节,shèngdànjié,Sâncthanciiê,Giáng sinh
14. Lễ hội,情人节,qíngrénjié,Sincrânciiê,Lễ tình nhân Valentine
14. Lễ hội,劳动节,láodòngjié,Laothoncciiê,Ngày Quốc tế lao động
14. Lễ hội,儿童节,értóngjié,Erthoncciiê,Ngày Quốc tế thiếu nhi
14. Lễ hội,宴会,yànhuì,Yanhuây,Tiệc
14. Lễ hội,灯笼,dēnglong,Thânclonc,Đèn lồng
14. Lễ hội,祝贺,zhùhè,Thruhe,Chúc mừng
14. Lễ hội,联欢,liánhuān,Liênhoan,Liên hoan
14. Lễ hội,嘉年华,jiāniánhuá,Ciiêniênhoa,"Lễ hội, hội chợ"
15. Bộ phận cơ thể người,头,tóu,Thâu,Đầu
15. Bộ phận cơ thể người,眼睛,yǎnjīng,Yanciinc,Mắt
15. Bộ phận cơ thể người,鼻子,bízi,Phichhi,Mũi
15. Bộ phận cơ thể người,嘴巴,zuǐbā,Chhuâypha,Miệng
15. Bộ phận cơ thể người,耳朵,ěrduo,Erthua,Tai
15. Bộ phận cơ thể người,牙齿,yáchǐ,Yathri,Răng
15. Bộ phận cơ thể người,舌头,shétou,Sethâu,Lưỡi
15. Bộ phận cơ thể người,脸,liǎn,Liên,Mặt
15. Bộ phận cơ thể người,头发,tóufa,Thâufa,Tóc
15. Bộ phận cơ thể người,手,shǒu,Sâu,Tay
15. Bộ phận cơ thể người,手指,Shóuzhǐ,Sâuthri,Ngón tay
15. Bộ phận cơ thể người,肩膀,jiānbǎng,Ciiênphanc,Vai
15. Bộ phận cơ thể người,胸,xiōng,Xionc,Ngực
15. Bộ phận cơ thể người,腿,tuǐ,Thuây,Chân
15. Bộ phận cơ thể người,脚,jiǎo,Ciêo,Bàn chân
15. Bộ phận cơ thể người,后背,hòubèi,Hâuphei,Lưng
15. Bộ phận cơ thể người,颈,jǐng,Ciinc,Cổ
15. Bộ phận cơ thể người,心脏,xīnzàng,Xinchhanc,Tim
15. Bộ phận cơ thể người,肺,fèi,Fei,Phổi
15. Bộ phận cơ thể người,肝,gān,Can,Gan
15. Bộ phận cơ thể người,肾,shèn,Sân,Thận
15. Bộ phận cơ thể người,皮肤,pífū,Phifu,Da
16. Tính cách,友好,yǒuhǎo,Yâuhao,Thân thiện
16. Tính cách,幽默,yōumò,Yâumo,Hài hước
16. Tính cách,乐观,lèguān,Lecoan,Lạc quan
16. Tính cách,悲观,bēiguān,Pheicoan,Bi quan
16. Tính cách,冷静,lěngjìng,Lâncciinc,Bình tĩnh
16. Tính cách,耐心,nàixīn,Naixin,Kiên nhẫn
16. Tính cách,热情,rèqíng,Resinc,Nhiệt tình
16. Tính cách,自信,zìxìn,Chhixin,Tự tin
16. Tính cách,害羞,hàixiū,Haixiêu,Ngượng ngùng
16. Tính cách,内向,nèixiàng,Neixiênc,Hướng nội
16. Tính cách,外向,wàixiàng,Waixiênc,Hướng ngoại
16. Tính cách,正直,zhèngzhí,Thrâncthri,Chính trực
16. Tính cách,独立,dúlì,Thuli,Độc lập
16. Tính cách,好奇,hàoqí,Haosi,"Tò mò, hiếu kỳ"
16. Tính cách,犹豫,yóuyù,Yâuyu,Do dự
16. Tính cách,坚定,jiāndìng,Ciiênthinc,Kiên định
16. Tính cách,随和,suíhé,Suâyhe,Dễ tính
16. Tính cách,勤奋,qínfèn,Sinfân,Chăm chỉ; siêng năng
16. Tính cách,懒惰,lǎnduò,Lanthua,Lười biếng
16. Tính cách,幼稚,yòuzhì,Yâuthri,Trẻ con
17. Đồ dùng trong nhà,桌子,zhuōzi,Thruachhi,Bàn
17. Đồ dùng trong nhà,椅子,yǐzi,Yichhi,Ghế
17. Đồ dùng trong nhà,床,chuáng,Throanc,Giường
17. Đồ dùng trong nhà,沙发,shāfā,Safa,Ghế sofa
17. Đồ dùng trong nhà,书架,shūjià,Suciia,Kệ sách
17. Đồ dùng trong nhà,衣柜,yīguì,Yicuây,Tủ quần áo
17. Đồ dùng trong nhà,鞋架,xiéjià,Xiêciia,Giá để giày
17. Đồ dùng trong nhà,灯,dēng,Thânc,Đèn
17. Đồ dùng trong nhà,电视,diànshì,Thiênsi,Tivi
17. Đồ dùng trong nhà,冰箱,bīngxiāng,Phincxiênc,Tủ lạnh
17. Đồ dùng trong nhà,炉灶,lúzào,Luchhao,Bếp ga
17. Đồ dùng trong nhà,洗衣机,xǐyījī,Xiyicii,Máy giặt
17. Đồ dùng trong nhà,空调,kōngtiáo,Khonctheo,Điều hòa
17. Đồ dùng trong nhà,风扇,fēngshàn,Fâncsan,Quạt điện
17. Đồ dùng trong nhà,吹风机,chuīfēngjī,Thruâyfânccii,Máy sấy tóc
17. Đồ dùng trong nhà,柜子,guìzi,Cuâychhi,Tủ
17. Đồ dùng trong nhà,盆子,pénzi,Phânchhi,"Bồn, chậu rửa"
17. Đồ dùng trong nhà,镜子,jìngzi,Ciincchhi,Gương
17. Đồ dùng trong nhà,电线,diànxiàn,Thiênxiên,Dây điện
17. Đồ dùng trong nhà,插座,chāzuò,Thrachhua,Ổ cắm điện
18. Thiên nhiên,自然,zìrán,Chhiran,"Thiên nhiên, tự nhiên"
18. Thiên nhiên,山,shān,San,Núi
18. Thiên nhiên,海,hǎi,Hai,Biển
18. Thiên nhiên,湖,hú,Hu,Hồ
18. Thiên nhiên,河,hé,He,Sông
18. Thiên nhiên,森林,sēnlín,Sânlin,Rừng
18. Thiên nhiên,沙漠,shāmò,Samo,Sa mạc
18. Thiên nhiên,草原,cǎoyuán,Chaoyoan,Thảo nguyên
18. Thiên nhiên,花,huā,Hoa,Hoa
18. Thiên nhiên,树,shù,Su,Cây
18. Thiên nhiên,草,cǎo,Chao,Cỏ
18. Thiên nhiên,叶子,yèzi,Yechhi,Lá
18. Thiên nhiên,动物,dòngwù,Thoncwu,Động vật
